NOAA/NOS/CO-OPS
Disclaimer: These data are based upon the latest information available as of the date of your request, and may differ from the published tide tables.
Annual Tide Predictions
StationName: Bournedale, Cape Cod Canal (Sta. 200) 
State: MA 
Stationid: 8447191
Prediction Type: Harmonic
From: 20230101 06:19 - 20231231 20:10
Units: Feet and Centimeters
Time Zone: LST_LDT
Datum: MLLW
Interval Type: High/Low

Date 		Day	Time		Pred(Ft)	Pred(cm)	High/Low
2023/05/15	Mon	01:51 AM	0.23		7			L
2023/05/15	Mon	08:00 AM	6.54		199			H
2023/05/15	Mon	02:16 PM	0.08		2			L
2023/05/15	Mon	08:30 PM	6.91		211			H
2023/05/16	Tue	02:49 AM	-0.05		-2			L
2023/05/16	Tue	08:59 AM	6.50		198			H
2023/05/16	Tue	03:09 PM	0.11		3			L
2023/05/16	Tue	09:21 PM	7.15		218			H
2023/05/17	Wed	03:44 AM	-0.27		-8			L
2023/05/17	Wed	09:53 AM	6.42		196			H
2023/05/17	Wed	03:59 PM	0.19		6			L
2023/05/17	Wed	10:09 PM	7.26		221			H
2023/05/18	Thu	04:36 AM	-0.39		-12			L
2023/05/18	Thu	10:45 AM	6.29		192			H
2023/05/18	Thu	04:48 PM	0.33		10			L
2023/05/18	Thu	10:56 PM	7.26		221			H
2023/05/19	Fri	05:25 AM	-0.40		-12			L
2023/05/19	Fri	11:34 AM	6.15		187			H
2023/05/19	Fri	05:34 PM	0.49		15			L
2023/05/19	Fri	11:42 PM	7.18		219			H
2023/05/20	Sat	06:11 AM	-0.32		-10			L
2023/05/20	Sat	12:20 PM	5.99		183			H
2023/05/20	Sat	06:19 PM	0.68		21			L
2023/05/21	Sun	12:25 AM	7.03		214			H
2023/05/21	Sun	06:55 AM	-0.15		-5			L
2023/05/21	Sun	01:02 PM	5.82		177			H
2023/05/21	Sun	07:03 PM	0.89		27			L
2023/05/22	Mon	01:06 AM	6.83		208			H
2023/05/22	Mon	07:40 AM	0.09		3			L
2023/05/22	Mon	01:44 PM	5.64		172			H
2023/05/22	Mon	07:48 PM	1.10		34			L
2023/05/23	Tue	01:48 AM	6.61		201			H
2023/05/23	Tue	08:26 AM	0.35		11			L
2023/05/23	Tue	02:27 PM	5.48		167			H
2023/05/23	Tue	08:35 PM	1.29		39			L
2023/05/24	Wed	02:32 AM	6.38		194			H
2023/05/24	Wed	09:14 AM	0.58		18			L
2023/05/24	Wed	03:13 PM	5.35		163			H
2023/05/24	Wed	09:26 PM	1.44		44			L
2023/05/25	Thu	03:20 AM	6.16		188			H
2023/05/25	Thu	10:04 AM	0.75		23			L
2023/05/25	Thu	04:02 PM	5.28		161			H
2023/05/25	Thu	10:19 PM	1.51		46			L
2023/05/26	Fri	04:11 AM	5.95		181			H
2023/05/26	Fri	10:54 AM	0.88		27			L
2023/05/26	Fri	04:51 PM	5.29		161			H
2023/05/26	Fri	11:11 PM	1.52		46			L
2023/05/27	Sat	05:03 AM	5.77		176			H
2023/05/27	Sat	11:43 AM	0.99		30			L
2023/05/27	Sat	05:43 PM	5.36		163			H
2023/05/28	Sun	12:04 AM	1.46		45			L
2023/05/28	Sun	05:58 AM	5.62		171			H
2023/05/28	Sun	12:32 PM	1.07		33			L
2023/05/28	Sun	06:36 PM	5.52		168			H
2023/05/29	Mon	12:59 AM	1.33		41			L
2023/05/29	Mon	06:56 AM	5.54		169			H
2023/05/29	Mon	01:22 PM	1.11		34			L
2023/05/29	Mon	07:27 PM	5.75		175			H
2023/05/30	Tue	01:52 AM	1.10		34			L
2023/05/30	Tue	07:51 AM	5.54		169			H
2023/05/30	Tue	02:11 PM	1.12		34			L
2023/05/30	Tue	08:13 PM	6.04		184			H
2023/05/31	Wed	02:43 AM	0.82		25			L
2023/05/31	Wed	08:40 AM	5.58		170			H
2023/05/31	Wed	02:56 PM	1.10		34			L
2023/05/31	Wed	08:55 PM	6.35		194			H
2023/06/01	Thu	03:30 AM	0.52		16			L
2023/06/01	Thu	09:26 AM	5.64		172			H
2023/06/01	Thu	03:41 PM	1.06		32			L
2023/06/01	Thu	09:36 PM	6.65		203			H
2023/06/02	Fri	04:17 AM	0.23		7			L
2023/06/02	Fri	10:11 AM	5.71		174			H
2023/06/02	Fri	04:25 PM	0.98		30			L
2023/06/02	Fri	10:18 PM	6.94		212			H
2023/06/03	Sat	05:04 AM	-0.04		-1			L
2023/06/03	Sat	10:57 AM	5.80		177			H
2023/06/03	Sat	05:10 PM	0.87		27			L
2023/06/03	Sat	11:04 PM	7.20		219			H
2023/06/04	Sun	05:50 AM	-0.26		-8			L
2023/06/04	Sun	11:45 AM	5.91		180			H
2023/06/04	Sun	05:56 PM	0.74		23			L
2023/06/04	Sun	11:52 PM	7.41		226			H
2023/06/05	Mon	06:37 AM	-0.42		-13			L
2023/06/05	Mon	12:33 PM	6.03		184			H
2023/06/05	Mon	06:43 PM	0.62		19			L
2023/06/06	Tue	12:41 AM	7.55		230			H
2023/06/06	Tue	07:25 AM	-0.48		-15			L
2023/06/06	Tue	01:22 PM	6.13		187			H
2023/06/06	Tue	07:33 PM	0.54		16			L
2023/06/07	Wed	01:33 AM	7.57		231			H
2023/06/07	Wed	08:17 AM	-0.47		-14			L
2023/06/07	Wed	02:14 PM	6.22		190			H
2023/06/07	Wed	08:28 PM	0.50		15			L
2023/06/08	Thu	02:27 AM	7.46		227			H
2023/06/08	Thu	09:11 AM	-0.40		-12			L
2023/06/08	Thu	03:10 PM	6.31		192			H
2023/06/08	Thu	09:28 PM	0.46		14			L
2023/06/09	Fri	03:26 AM	7.24		221			H
2023/06/09	Fri	10:07 AM	-0.32		-10			L
2023/06/09	Fri	04:09 PM	6.44		196			H
2023/06/09	Fri	10:29 PM	0.39		12			L
2023/06/10	Sat	04:28 AM	6.96		212			H
2023/06/10	Sat	11:02 AM	-0.21		-6			L
2023/06/10	Sat	05:08 PM	6.58		201			H
2023/06/10	Sat	11:29 PM	0.30		9			L
2023/06/11	Sun	05:30 AM	6.66		203			H
2023/06/11	Sun	11:58 AM	-0.06		-2			L
2023/06/11	Sun	06:09 PM	6.74		205			H
2023/06/12	Mon	12:30 AM	0.21		6			L
2023/06/12	Mon	06:36 AM	6.39		195			H
2023/06/12	Mon	12:54 PM	0.11		3			L
2023/06/12	Mon	07:10 PM	6.91		211			H
2023/06/13	Tue	01:32 AM	0.09		3			L
2023/06/13	Tue	07:42 AM	6.21		189			H
2023/06/13	Tue	01:50 PM	0.27		8			L
2023/06/13	Tue	08:08 PM	7.06		215			H
2023/06/14	Wed	02:31 AM	-0.03		-1			L
2023/06/14	Wed	08:42 AM	6.08		185			H
2023/06/14	Wed	02:44 PM	0.42		13			L
2023/06/14	Wed	09:00 PM	7.13		217			H
2023/06/15	Thu	03:26 AM	-0.11		-3			L
2023/06/15	Thu	09:37 AM	5.96		182			H
2023/06/15	Thu	03:35 PM	0.57		17			L
2023/06/15	Thu	09:48 PM	7.10		216			H
2023/06/16	Fri	04:17 AM	-0.11		-3			L
2023/06/16	Fri	10:28 AM	5.82		177			H
2023/06/16	Fri	04:24 PM	0.73		22			L
2023/06/16	Fri	10:35 PM	7.00		213			H
2023/06/17	Sat	05:06 AM	-0.06		-2			L
2023/06/17	Sat	11:17 AM	5.70		174			H
2023/06/17	Sat	05:12 PM	0.87		27			L
2023/06/17	Sat	11:21 PM	6.87		209			H
2023/06/18	Sun	05:52 AM	0.04		1			L
2023/06/18	Sun	12:02 PM	5.59		170			H
2023/06/18	Sun	05:57 PM	0.99		30			L
2023/06/19	Mon	12:04 AM	6.73		205			H
2023/06/19	Mon	06:35 AM	0.17		5			L
2023/06/19	Mon	12:42 PM	5.50		168			H
2023/06/19	Mon	06:40 PM	1.11		34			L
2023/06/20	Tue	12:44 AM	6.60		201			H
2023/06/20	Tue	07:17 AM	0.32		10			L
2023/06/20	Tue	01:21 PM	5.43		166			H
2023/06/20	Tue	07:23 PM	1.22		37			L
2023/06/21	Wed	01:23 AM	6.47		197			H
2023/06/21	Wed	07:59 AM	0.47		14			L
2023/06/21	Wed	02:00 PM	5.40		165			H
2023/06/21	Wed	08:07 PM	1.32		40			L
2023/06/22	Thu	02:04 AM	6.33		193			H
2023/06/22	Thu	08:44 AM	0.62		19			L
2023/06/22	Thu	02:41 PM	5.40		165			H
2023/06/22	Thu	08:55 PM	1.40		43			L
2023/06/23	Fri	02:47 AM	6.17		188			H
2023/06/23	Fri	09:30 AM	0.74		23			L
2023/06/23	Fri	03:25 PM	5.45		166			H
2023/06/23	Fri	09:46 PM	1.42		43			L
2023/06/24	Sat	03:34 AM	5.98		182			H
2023/06/24	Sat	10:17 AM	0.85		26			L
2023/06/24	Sat	04:11 PM	5.53		169			H
2023/06/24	Sat	10:37 PM	1.39		42			L
2023/06/25	Sun	04:23 AM	5.79		176			H
2023/06/25	Sun	11:03 AM	0.97		30			L
2023/06/25	Sun	04:57 PM	5.64		172			H
2023/06/25	Sun	11:27 PM	1.32		40			L
2023/06/26	Mon	05:14 AM	5.60		171			H
2023/06/26	Mon	11:49 AM	1.09		33			L
2023/06/26	Mon	05:45 PM	5.78		176			H
2023/06/27	Tue	12:20 AM	1.20		37			L
2023/06/27	Tue	06:08 AM	5.45		166			H
2023/06/27	Tue	12:38 PM	1.20		37			L
2023/06/27	Tue	06:35 PM	5.97		182			H
2023/06/28	Wed	01:14 AM	1.02		31			L
2023/06/28	Wed	07:05 AM	5.37		164			H
2023/06/28	Wed	01:27 PM	1.26		38			L
2023/06/28	Wed	07:26 PM	6.22		190			H
2023/06/29	Thu	02:07 AM	0.77		23			L
2023/06/29	Thu	08:00 AM	5.39		164			H
2023/06/29	Thu	02:17 PM	1.24		38			L
2023/06/29	Thu	08:15 PM	6.52		199			H
2023/06/30	Fri	02:58 AM	0.48		15			L
2023/06/30	Fri	08:51 AM	5.47		167			H
2023/06/30	Fri	03:05 PM	1.14		35			L
2023/06/30	Fri	09:02 PM	6.84		208			H
2023/07/01	Sat	03:48 AM	0.18		5			L
2023/07/01	Sat	09:40 AM	5.59		170			H
2023/07/01	Sat	03:53 PM	0.97		30			L
2023/07/01	Sat	09:50 PM	7.15		218			H
2023/07/02	Sun	04:38 AM	-0.10		-3			L
2023/07/02	Sun	10:30 AM	5.75		175			H
2023/07/02	Sun	04:43 PM	0.76		23			L
2023/07/02	Sun	10:41 PM	7.42		226			H
2023/07/03	Mon	05:28 AM	-0.36		-11			L
2023/07/03	Mon	11:22 AM	5.95		181			H
2023/07/03	Mon	05:33 PM	0.52		16			L
2023/07/03	Mon	11:34 PM	7.64		233			H
2023/07/04	Tue	06:17 AM	-0.57		-17			L
2023/07/04	Tue	12:14 PM	6.18		188			H
2023/07/04	Tue	06:24 PM	0.29		9			L
2023/07/05	Wed	12:27 AM	7.77		237			H
2023/07/05	Wed	07:06 AM	-0.68		-21			L
2023/07/05	Wed	01:05 PM	6.42		196			H
2023/07/05	Wed	07:16 PM	0.12		4			L
2023/07/06	Thu	01:19 AM	7.76		237			H
2023/07/06	Thu	07:56 AM	-0.69		-21			L
2023/07/06	Thu	01:57 PM	6.63		202			H
2023/07/06	Thu	08:12 PM	0.04		1			L
2023/07/07	Fri	02:14 AM	7.59		231			H
2023/07/07	Fri	08:49 AM	-0.61		-19			L
2023/07/07	Fri	02:51 PM	6.80		207			H
2023/07/07	Fri	09:10 PM	0.01		0			L
2023/07/08	Sat	03:11 AM	7.29		222			H
2023/07/08	Sat	09:43 AM	-0.46		-14			L
2023/07/08	Sat	03:48 PM	6.93		211			H
2023/07/08	Sat	10:10 PM	-0.01		-0			L
2023/07/09	Sun	04:10 AM	6.92		211			H
2023/07/09	Sun	10:37 AM	-0.26		-8			L
2023/07/09	Sun	04:45 PM	7.01		214			H
2023/07/09	Sun	11:09 PM	0.00		0			L
2023/07/10	Mon	05:11 AM	6.52		199			H
2023/07/10	Mon	11:31 AM	0.00		0			L
2023/07/10	Mon	05:43 PM	7.02		214			H
2023/07/11	Tue	12:09 AM	0.05		2			L
2023/07/11	Tue	06:15 AM	6.15		187			H
2023/07/11	Tue	12:27 PM	0.29		9			L
2023/07/11	Tue	06:44 PM	6.99		213			H
2023/07/12	Wed	01:10 AM	0.10		3			L
2023/07/12	Wed	07:21 AM	5.88		179			H
2023/07/12	Wed	01:24 PM	0.55		17			L
2023/07/12	Wed	07:44 PM	6.95		212			H
2023/07/13	Thu	02:10 AM	0.14		4			L
2023/07/13	Thu	08:24 AM	5.72		174			H
2023/07/13	Thu	02:20 PM	0.74		23			L
2023/07/13	Thu	08:39 PM	6.90		210			H
2023/07/14	Fri	03:06 AM	0.18		5			L
2023/07/14	Fri	09:20 AM	5.61		171			H
2023/07/14	Fri	03:12 PM	0.89		27			L
2023/07/14	Fri	09:30 PM	6.81		208			H
2023/07/15	Sat	03:58 AM	0.23		7			L
2023/07/15	Sat	10:11 AM	5.51		168			H
2023/07/15	Sat	04:03 PM	1.00		30			L
2023/07/15	Sat	10:17 PM	6.70		204			H
2023/07/16	Sun	04:46 AM	0.29		9			L
2023/07/16	Sun	10:59 AM	5.43		166			H
2023/07/16	Sun	04:50 PM	1.07		33			L
2023/07/16	Sun	11:02 PM	6.60		201			H
2023/07/17	Mon	05:32 AM	0.35		11			L
2023/07/17	Mon	11:42 AM	5.39		164			H
2023/07/17	Mon	05:35 PM	1.11		34			L
2023/07/17	Mon	11:44 PM	6.52		199			H
2023/07/18	Tue	06:13 AM	0.41		12			L
2023/07/18	Tue	12:21 PM	5.39		164			H
2023/07/18	Tue	06:18 PM	1.14		35			L
2023/07/19	Wed	12:23 AM	6.46		197			H
2023/07/19	Wed	06:53 AM	0.47		14			L
2023/07/19	Wed	12:56 PM	5.43		166			H
2023/07/19	Wed	06:59 PM	1.16		35			L
2023/07/20	Thu	01:00 AM	6.39		195			H
2023/07/20	Thu	07:32 AM	0.54		16			L
2023/07/20	Thu	01:31 PM	5.51		168			H
2023/07/20	Thu	07:41 PM	1.18		36			L
2023/07/21	Fri	01:37 AM	6.30		192			H
2023/07/21	Fri	08:12 AM	0.64		20			L
2023/07/21	Fri	02:08 PM	5.60		171			H
2023/07/21	Fri	08:25 PM	1.21		37			L
2023/07/22	Sat	02:16 AM	6.17		188			H
2023/07/22	Sat	08:55 AM	0.76		23			L
2023/07/22	Sat	02:47 PM	5.71		174			H
2023/07/22	Sat	09:13 PM	1.21		37			L
2023/07/23	Sun	02:59 AM	5.99		183			H
2023/07/23	Sun	09:39 AM	0.89		27			L
2023/07/23	Sun	03:29 PM	5.81		177			H
2023/07/23	Sun	10:02 PM	1.18		36			L
2023/07/24	Mon	03:45 AM	5.80		177			H
2023/07/24	Mon	10:23 AM	1.04		32			L
2023/07/24	Mon	04:12 PM	5.92		180			H
2023/07/24	Mon	10:52 PM	1.12		34			L
2023/07/25	Tue	04:34 AM	5.59		170			H
2023/07/25	Tue	11:08 AM	1.18		36			L
2023/07/25	Tue	04:58 PM	6.04		184			H
2023/07/25	Tue	11:43 PM	1.04		32			L
2023/07/26	Wed	05:26 AM	5.41		165			H
2023/07/26	Wed	11:56 AM	1.31		40			L
2023/07/26	Wed	05:48 PM	6.17		188			H
2023/07/27	Thu	12:37 AM	0.92		28			L
2023/07/27	Thu	06:23 AM	5.28		161			H
2023/07/27	Thu	12:47 PM	1.36		41			L
2023/07/27	Thu	06:43 PM	6.35		194			H
2023/07/28	Fri	01:33 AM	0.74		23			L
2023/07/28	Fri	07:23 AM	5.27		161			H
2023/07/28	Fri	01:41 PM	1.31		40			L
2023/07/28	Fri	07:40 PM	6.61		201			H
2023/07/29	Sat	02:28 AM	0.48		15			L
2023/07/29	Sat	08:21 AM	5.38		164			H
2023/07/29	Sat	02:35 PM	1.13		34			L
2023/07/29	Sat	08:35 PM	6.94		212			H
2023/07/30	Sun	03:22 AM	0.18		5			L
2023/07/30	Sun	09:15 AM	5.59		170			H
2023/07/30	Sun	03:28 PM	0.85		26			L
2023/07/30	Sun	09:28 PM	7.26		221			H
2023/07/31	Mon	04:14 AM	-0.13		-4			L
2023/07/31	Mon	10:07 AM	5.85		178			H
2023/07/31	Mon	04:21 PM	0.53		16			L
2023/07/31	Mon	10:22 PM	7.54		230			H
2023/08/01	Tue	05:06 AM	-0.42		-13			L
2023/08/01	Tue	11:01 AM	6.16		188			H
2023/08/01	Tue	05:14 PM	0.19		6			L
2023/08/01	Tue	11:18 PM	7.74		236			H
2023/08/02	Wed	05:56 AM	-0.66		-20			L
2023/08/02	Wed	11:55 AM	6.52		199			H
2023/08/02	Wed	06:07 PM	-0.12		-4			L
2023/08/03	Thu	12:12 AM	7.83		239			H
2023/08/03	Thu	06:45 AM	-0.79		-24			L
2023/08/03	Thu	12:46 PM	6.86		209			H
2023/08/03	Thu	07:00 PM	-0.34		-10			L
2023/08/04	Fri	01:05 AM	7.77		237			H
2023/08/04	Fri	07:33 AM	-0.78		-24			L
2023/08/04	Fri	01:36 PM	7.12		217			H
2023/08/04	Fri	07:54 PM	-0.42		-13			L
2023/08/05	Sat	01:57 AM	7.54		230			H
2023/08/05	Sat	08:24 AM	-0.64		-20			L
2023/08/05	Sat	02:28 PM	7.27		222			H
2023/08/05	Sat	08:50 PM	-0.39		-12			L
2023/08/06	Sun	02:52 AM	7.18		219			H
2023/08/06	Sun	09:16 AM	-0.39		-12			L
2023/08/06	Sun	03:22 PM	7.29		222			H
2023/08/06	Sun	09:48 PM	-0.30		-9			L
2023/08/07	Mon	03:50 AM	6.74		205			H
2023/08/07	Mon	10:10 AM	-0.09		-3			L
2023/08/07	Mon	04:17 PM	7.21		220			H
2023/08/07	Mon	10:46 PM	-0.14		-4			L
2023/08/08	Tue	04:49 AM	6.30		192			H
2023/08/08	Tue	11:04 AM	0.24		7			L
2023/08/08	Tue	05:14 PM	7.04		215			H
2023/08/08	Tue	11:44 PM	0.06		2			L
2023/08/09	Wed	05:50 AM	5.89		180			H
2023/08/09	Wed	11:59 AM	0.58		18			L
2023/08/09	Wed	06:14 PM	6.83		208			H
2023/08/10	Thu	12:44 AM	0.26		8			L
2023/08/10	Thu	06:57 AM	5.60		171			H
2023/08/10	Thu	12:57 PM	0.85		26			L
2023/08/10	Thu	07:18 PM	6.66		203			H
2023/08/11	Fri	01:45 AM	0.41		12			L
2023/08/11	Fri	08:03 AM	5.46		166			H
2023/08/11	Fri	01:55 PM	1.03		31			L
2023/08/11	Fri	08:18 PM	6.57		200			H
2023/08/12	Sat	02:43 AM	0.49		15			L
2023/08/12	Sat	09:01 AM	5.40		165			H
2023/08/12	Sat	02:50 PM	1.10		34			L
2023/08/12	Sat	09:11 PM	6.51		198			H
2023/08/13	Sun	03:35 AM	0.53		16			L
2023/08/13	Sun	09:51 AM	5.38		164			H
2023/08/13	Sun	03:41 PM	1.12		34			L
2023/08/13	Sun	09:58 PM	6.46		197			H
2023/08/14	Mon	04:23 AM	0.55		17			L
2023/08/14	Mon	10:36 AM	5.38		164			H
2023/08/14	Mon	04:28 PM	1.11		34			L
2023/08/14	Mon	10:42 PM	6.41		195			H
2023/08/15	Tue	05:07 AM	0.55		17			L
2023/08/15	Tue	11:17 AM	5.42		165			H
2023/08/15	Tue	05:13 PM	1.06		32			L
2023/08/15	Tue	11:23 PM	6.37		194			H
2023/08/16	Wed	05:47 AM	0.54		16			L
2023/08/16	Wed	11:53 AM	5.50		168			H
2023/08/16	Wed	05:55 PM	1.01		31			L
2023/08/17	Thu	12:00 AM	6.34		193			H
2023/08/17	Thu	06:25 AM	0.55		17			L
2023/08/17	Thu	12:27 PM	5.62		171			H
2023/08/17	Thu	06:35 PM	0.95		29			L
2023/08/18	Fri	12:36 AM	6.30		192			H
2023/08/18	Fri	07:02 AM	0.60		18			L
2023/08/18	Fri	01:00 PM	5.77		176			H
2023/08/18	Fri	07:15 PM	0.92		28			L
2023/08/19	Sat	01:11 AM	6.24		190			H
2023/08/19	Sat	07:39 AM	0.69		21			L
2023/08/19	Sat	01:33 PM	5.91		180			H
2023/08/19	Sat	07:56 PM	0.90		27			L
2023/08/20	Sun	01:47 AM	6.12		187			H
2023/08/20	Sun	08:18 AM	0.83		25			L
2023/08/20	Sun	02:08 PM	6.03		184			H
2023/08/20	Sun	08:40 PM	0.90		27			L
2023/08/21	Mon	02:27 AM	5.97		182			H
2023/08/21	Mon	09:00 AM	1.00		30			L
2023/08/21	Mon	02:47 PM	6.13		187			H
2023/08/21	Mon	09:28 PM	0.90		27			L
2023/08/22	Tue	03:11 AM	5.78		176			H
2023/08/22	Tue	09:44 AM	1.17		36			L
2023/08/22	Tue	03:30 PM	6.20		189			H
2023/08/22	Tue	10:18 PM	0.89		27			L
2023/08/23	Wed	03:59 AM	5.57		170			H
2023/08/23	Wed	10:31 AM	1.31		40			L
2023/08/23	Wed	04:17 PM	6.26		191			H
2023/08/23	Wed	11:09 PM	0.86		26			L
2023/08/24	Thu	04:51 AM	5.39		164			H
2023/08/24	Thu	11:20 AM	1.40		43			L
2023/08/24	Thu	05:10 PM	6.33		193			H
2023/08/25	Fri	12:04 AM	0.81		25			L
2023/08/25	Fri	05:49 AM	5.26		160			H
2023/08/25	Fri	12:13 PM	1.41		43			L
2023/08/25	Fri	06:08 PM	6.44		196			H
2023/08/26	Sat	01:03 AM	0.69		21			L
2023/08/26	Sat	06:53 AM	5.26		160			H
2023/08/26	Sat	01:12 PM	1.29		39			L
2023/08/26	Sat	07:12 PM	6.64		202			H
2023/08/27	Sun	02:02 AM	0.46		14			L
2023/08/27	Sun	07:56 AM	5.43		166			H
2023/08/27	Sun	02:11 PM	1.02		31			L
2023/08/27	Sun	08:14 PM	6.94		212			H
2023/08/28	Mon	02:58 AM	0.16		5			L
2023/08/28	Mon	08:54 AM	5.74		175			H
2023/08/28	Mon	03:08 PM	0.65		20			L
2023/08/28	Mon	09:11 PM	7.25		221			H
2023/08/29	Tue	03:51 AM	-0.16		-5			L
2023/08/29	Tue	09:48 AM	6.13		187			H
2023/08/29	Tue	04:03 PM	0.23		7			L
2023/08/29	Tue	10:07 PM	7.50		229			H
2023/08/30	Wed	04:43 AM	-0.44		-13			L
2023/08/30	Wed	10:41 AM	6.55		200			H
2023/08/30	Wed	04:57 PM	-0.17		-5			L
2023/08/30	Wed	11:02 PM	7.65		233			H
2023/08/31	Thu	05:33 AM	-0.65		-20			L
2023/08/31	Thu	11:33 AM	6.97		212			H
2023/08/31	Thu	05:51 PM	-0.51		-16			L
2023/08/31	Thu	11:56 PM	7.68		234			H
2023/09/01	Fri	06:21 AM	-0.74		-23			L
2023/09/01	Fri	12:24 PM	7.31		223			H
2023/09/01	Fri	06:42 PM	-0.72		-22			L
2023/09/02	Sat	12:48 AM	7.56		230			H
2023/09/02	Sat	07:08 AM	-0.67		-20			L
2023/09/02	Sat	01:12 PM	7.52		229			H
2023/09/02	Sat	07:34 PM	-0.76		-23			L
2023/09/03	Sun	01:39 AM	7.30		223			H
2023/09/03	Sun	07:57 AM	-0.45		-14			L
2023/09/03	Sun	02:02 PM	7.56		230			H
2023/09/03	Sun	08:28 PM	-0.63		-19			L
2023/09/04	Mon	02:31 AM	6.91		211			H
2023/09/04	Mon	08:48 AM	-0.13		-4			L
2023/09/04	Mon	02:53 PM	7.42		226			H
2023/09/04	Mon	09:24 PM	-0.40		-12			L
2023/09/05	Tue	03:26 AM	6.47		197			H
2023/09/05	Tue	09:41 AM	0.23		7			L
2023/09/05	Tue	03:47 PM	7.16		218			H
2023/09/05	Tue	10:20 PM	-0.11		-3			L
2023/09/06	Wed	04:24 AM	6.04		184			H
2023/09/06	Wed	10:36 AM	0.59		18			L
2023/09/06	Wed	04:43 PM	6.85		209			H
2023/09/06	Wed	11:17 PM	0.20		6			L
2023/09/07	Thu	05:23 AM	5.66		173			H
2023/09/07	Thu	11:32 AM	0.90		27			L
2023/09/07	Thu	05:43 PM	6.54		199			H
2023/09/08	Fri	12:16 AM	0.48		15			L
2023/09/08	Fri	06:28 AM	5.39		164			H
2023/09/08	Fri	12:29 PM	1.13		34			L
2023/09/08	Fri	06:48 PM	6.31		192			H
2023/09/09	Sat	01:16 AM	0.68		21			L
2023/09/09	Sat	07:37 AM	5.28		161			H
2023/09/09	Sat	01:29 PM	1.24		38			L
2023/09/09	Sat	07:53 PM	6.23		190			H
2023/09/10	Sun	02:14 AM	0.76		23			L
2023/09/10	Sun	08:36 AM	5.31		162			H
2023/09/10	Sun	02:25 PM	1.23		37			L
2023/09/10	Sun	08:47 PM	6.23		190			H
2023/09/11	Mon	03:07 AM	0.75		23			L
2023/09/11	Mon	09:24 AM	5.39		164			H
2023/09/11	Mon	03:16 PM	1.15		35			L
2023/09/11	Mon	09:34 PM	6.24		190			H
2023/09/12	Tue	03:53 AM	0.71		22			L
2023/09/12	Tue	10:06 AM	5.49		167			H
2023/09/12	Tue	04:03 PM	1.04		32			L
2023/09/12	Tue	10:16 PM	6.24		190			H
2023/09/13	Wed	04:36 AM	0.67		20			L
2023/09/13	Wed	10:44 AM	5.61		171			H
2023/09/13	Wed	04:48 PM	0.91		28			L
2023/09/13	Wed	10:56 PM	6.22		190			H
2023/09/14	Thu	05:16 AM	0.65		20			L
2023/09/14	Thu	11:19 AM	5.76		176			H
2023/09/14	Thu	05:29 PM	0.79		24			L
2023/09/14	Thu	11:33 PM	6.20		189			H
2023/09/15	Fri	05:54 AM	0.65		20			L
2023/09/15	Fri	11:53 AM	5.93		181			H
2023/09/15	Fri	06:09 PM	0.67		20			L
2023/09/16	Sat	12:09 AM	6.17		188			H
2023/09/16	Sat	06:30 AM	0.70		21			L
2023/09/16	Sat	12:25 PM	6.10		186			H
2023/09/16	Sat	06:49 PM	0.59		18			L
2023/09/17	Sun	12:44 AM	6.12		187			H
2023/09/17	Sun	07:06 AM	0.80		24			L
2023/09/17	Sun	12:58 PM	6.26		191			H
2023/09/17	Sun	07:28 PM	0.55		17			L
2023/09/18	Mon	01:20 AM	6.03		184			H
2023/09/18	Mon	07:43 AM	0.94		29			L
2023/09/18	Mon	01:32 PM	6.38		194			H
2023/09/18	Mon	08:10 PM	0.56		17			L
2023/09/19	Tue	01:59 AM	5.90		180			H
2023/09/19	Tue	08:23 AM	1.11		34			L
2023/09/19	Tue	02:10 PM	6.45		197			H
2023/09/19	Tue	08:57 PM	0.60		18			L
2023/09/20	Wed	02:42 AM	5.74		175			H
2023/09/20	Wed	09:08 AM	1.27		39			L
2023/09/20	Wed	02:54 PM	6.48		198			H
2023/09/20	Wed	09:48 PM	0.65		20			L
2023/09/21	Thu	03:31 AM	5.56		169			H
2023/09/21	Thu	09:58 AM	1.37		42			L
2023/09/21	Thu	03:45 PM	6.48		198			H
2023/09/21	Thu	10:42 PM	0.67		20			L
2023/09/22	Fri	04:25 AM	5.41		165			H
2023/09/22	Fri	10:51 AM	1.41		43			L
2023/09/22	Fri	04:41 PM	6.48		198			H
2023/09/22	Fri	11:38 PM	0.66		20			L
2023/09/23	Sat	05:25 AM	5.33		162			H
2023/09/23	Sat	11:49 AM	1.35		41			L
2023/09/23	Sat	05:44 PM	6.51		198			H
2023/09/24	Sun	12:37 AM	0.57		17			L
2023/09/24	Sun	06:30 AM	5.39		164			H
2023/09/24	Sun	12:50 PM	1.17		36			L
2023/09/24	Sun	06:51 PM	6.64		202			H
2023/09/25	Mon	01:38 AM	0.38		12			L
2023/09/25	Mon	07:37 AM	5.66		173			H
2023/09/25	Mon	01:53 PM	0.84		26			L
2023/09/25	Mon	07:57 PM	6.87		209			H
2023/09/26	Tue	02:35 AM	0.11		3			L
2023/09/26	Tue	08:36 AM	6.08		185			H
2023/09/26	Tue	02:51 PM	0.40		12			L
2023/09/26	Tue	08:57 PM	7.11		217			H
2023/09/27	Wed	03:28 AM	-0.16		-5			L
2023/09/27	Wed	09:29 AM	6.55		200			H
2023/09/27	Wed	03:47 PM	-0.06		-2			L
